confidence,text
96.3343734741211,ABBYY
99.91133117675781,John Smith
99.8643798828125,ABBYY Headquarters
99.43434143066406,"Otradnaya str, 2b, bld. 6,"
99.92284393310547,Product Analyst
99.04174041748047,"127273, Moscow, Russia"
96.61396789550781,Tel. +7(495) 5)783 3700
99.85274505615234,Fax
98.72367095947266,+7(495) 783 2663
99.38628387451172,john_sm@abbyy.com
91.79253387451172,WWW.ABBYY.com
99.90039825439453,John
99.92225646972656,Smith
99.83516693115234,ABBYY
99.89359283447266,Headquarters
99.87381744384766,Otradnaya
99.21543884277344,"str,"
99.69257354736328,"2b,"
99.60508728027344,bld.
98.7847900390625,"6,"
99.89965057373047,Product
99.94603729248047,Analyst
99.69639587402344,"127273,"
97.50975799560547,"Moscow,"
99.91905975341797,Russia
96.40980529785156,Tel.
97.47784423828125,+7(495)
95.95425415039062,5)783 3700
98.143798828125,+7(495)
99.30355834960938,783 2663
