confidence,text
97.85972595214844,FORM 01
99.57024383544922,CUSTOMER'S REFERENCE DATA CONFIRMATION
83.50067901611328,Bark guarenaac the secaCY o ifoneton on the Customarihe Hoklor ed horen m aocordence
99.12265014648438,Main
83.56179809570312,win the General Tors and Candiiois and the prooedires ostetished by appicable lans
99.64153289794922,PERSONAL DETAILS
79.95899200439453,Mr
99.5146484375,Mrs
99.85364532470703,Ms
98.96398162841797,Miss
91.7068099975586,First Name
92.55697631835938,JENNIFER
94.2210922241211,Midde Intal
98.2840805053711,A
96.4392318725586,Last Name
95.67935180664062,PITT
99.13130187988281,Natonality
86.53379821777344,B RITI S H
90.9254150390625,City of Birth
90.71240997314453,LONDON
83.85305786132812,Bith Date
88.37179565429688,(mnm dd yyy)
53.97206115722656,0 f / 0 6 i 9
96.43254852294922,Social Security Number
74.61556243896484,#19706442
98.25269317626953,ADDRESSICONTACT DETAILS
94.3613052368164,FIXED ADDRESS
99.03758239746094,County
76.40361022949219,USA u S A
92.63765716552734,ZIP code
86.86040496826172,94633
91.79478454589844,Slate
66.60643005371094,"C CALIFORNIA A L, I O N"
98.00141143798828,City
79.06620788574219,BRENTWOOD N
95.39892578125,Street
81.60125732421875,3100 MAIN S T
99.80523681640625,House
98.91558837890625,Buldng
99.26502990722656,Apartment 2
92.90097045898438,Home Phane
75.58247375488281,922-890-4444 922 -+ 9 -4444
94.04521942138672,Mobile Phons
55.12699508666992,925-88/-/679 925 +-
95.29398345947266,PRESENT ADDRESS
82.31840515136719,Country
98.37749481201172,ZIP code
93.01393127441406,State
95.87786865234375,City
94.18331909179688,Street
86.78453063964844,House
88.4935302734375,Bulding
99.19852447509766,Apartment
99.29286193847656,PROFESSIONAL DETAILS
99.5765380859375,Employed
99.1592025756836,Self-employed
94.48987579345703,Retired
86.00288391113281,Oter
98.08179473876953,Name of Employar or if
98.57315063476562,"SelfEmployed, Trading Name"
85.8657455444336,A ABC B ENTERTAC CORP.
87.1697006225586,Occupation
87.2282485961914,C F
98.5132064819336,Country
68.62139892578125,l S A
95.8277587890625,ZIP code
98.46111297607422,95040
99.49710083007812,Sate
77.53276062011719,CALIFORNI 4
81.2696304321289,city L AURELWOOA A 0
88.68843841552734,Street
86.20500183105469,4000 B 2 C CR. R
99.76469421386719,House
92.57575988769531,Bulding
98.80941772460938,Apartment
97.61988830566406,Work Phone
80.76089477539062,922-621-4000 62 -4000
95.20358276367188,Mobile Phone
94.71662902832031,"Gross Annual Income, USD"
78.8597183227539,"//0000, 00"
98.37491607666016,Employment Date
94.09968566894531,(mm ddyyyy)
78.38642120361328,/ / 10/12004 / 0 2004
75.90579223632812,1 Confirm the Correctness of the Information above
27.3583984375,JPi
72.77252960205078,ABC
87.40867614746094,(Signature)
98.8042221069336,Document Date
67.81121063232422,TION
64.25473022460938,6 2 9 7 4 1 0I 6 7 7
60.95989227294922,F o 2 2007 2
81.16632080078125,(mm ddyy)
89.25540924072266,(Empbyor HR Dlicer Signature)
99.84457397460938,FORM
95.87487030029297,01
99.57852935791016,CUSTOMER'S
99.76009368896484,REFERENCE
99.83036804199219,DATA
99.11197662353516,CONFIRMATION
97.7904052734375,Bark
68.0325698852539,guarenaac
99.36582946777344,the
61.82704544067383,secaCY
99.25021362304688,o
68.17684936523438,ifoneton
92.72914123535156,on
83.23998260498047,the
86.85767364501953,Customarihe
64.85626220703125,Hoklor
96.59465026855469,ed
87.4414291381836,horen
85.65119934082031,m
77.19620513916016,aocordence
58.41706466674805,win
95.17918395996094,the
83.58672332763672,General
67.96282958984375,Tors
87.36748504638672,and
69.50879669189453,Candiiois
89.64643096923828,and
99.82949829101562,the
86.343017578125,prooedires
67.7199935913086,ostetished
98.6209487915039,by
92.71636199951172,appicable
89.4050064086914,lans
99.88623046875,PERSONAL
99.3968276977539,DETAILS
85.8159408569336,First
97.59767150878906,Name
95.59929656982422,Midde
92.84288024902344,Intal
93.81444549560547,Last
99.06401824951172,Name
